1,Maggi Noodles,0.55,100,maggie.jpg,"Bringing you classic Indian noodles, Maggi 2 Minute Masala Noodles are simply delicious, quick noodles.  Each pack contains a noodle cake and a Masala flavour sachet, ready to prepare a bowl of delicious masala  flavour Maggi  noodles, free from Hydrogenated Vegetable Oil.",1
2,Earphones,9.99,100,eaphones.jpg,"ULIX Rider Wired Earbuds in-Ear Headphones, Earphones with Microphone, 5 Years Warranty, Ecouteur avec Fil, Anti-Tangle Reinforced Cable, 48 ohms Driver, Bass Ear Buds Phones for iPhone, iPad, Samsung",2
3,Charger,15.99,100,charger.jpg,"20W PD 3.0 USB Type C power delivery wall plug,PD 3.0 Quick-Charge USB C port provides Max 20W output power,charge your device up to 3x faster than the original 5 W charger,charging your iPhone up to 50% in just 30 minutes for iPhone Charging,At 3A Maximum,Helps You Work Efficiently.",2
4,Coffee Machine,18.79,100,coffee.jpg,With Philips 3200 Series easily make up to 5 black and milk-based coffee varieties at the touch of a button! Enjoy the delicious taste and aroma of coffee from fresh beans at the perfect temperature.,2
5,Water Bottle,2.99,100,water.jpg,"Our stainless steel double-wall vacuum insulation ensures your beverages stay refreshingly cold or piping hot for extended periods of time, making it the ideal insulated water bottle.",3
6,Coke,0.99,100,coke.jpg,"Pack of 12, 355mL per can; Coca-Cola
Coca-Cola is the most popular and largest-selling soft drink in history, as well as the best-known brand in the world
Perfect for at-home meals with family and friends",4
7,Cookies,2.49,100,cookies.jpg,"This package contains 1 resealable 258g pack of CHIPS AHOY! Original Chocolate Chip Cookies
It's no surprise that the scrumptious CHIPS AHOY! cookie beloved by both kids and adults
Created to be perfectly crunchy, these crowd-pleasing cookies are crammed with real chocolate chips to satisfy any sweeth tooth",5
8,Canada Dry ,0.98,100,canada.jpg,"Canada Dry is a premium ginger ale that is crisp, clean and refreshing. Its light, less sweet taste quenches your thirst and its natural ginger flavour soothes and comforts you.",4
9,Milk,5.49,100,milk.jpg,"Fresh, wholesome milk naturally from Neilson. Since 1893, Neilson has stood for high quality dairy products. Neilson has always been committed to using the best ingredients, people and processes to produce great tasting quality milk you can depend on.",6
10,Butter,16.99,100,butter.jpg,Most healthy butter from one the best brands at low cost.,6
11,Bread,2.49,100,bread.jpg,"Bread is a staple food prepared from a dough of flour (usually wheat) and water, usually by baking",5
12,Notebooks,1.27,100,notebooks.jpg,"Hilroy Coil 1-Subject Wide Ruled Notebook, 10.5x8-Inch, 3-Hole Punched, 200 Pages, Assorted Color Covers",7
13,Pens,1.99,100,pens.jpg,"Elegant writing instruments designed for the fashion-forward crowd. There are 11 ballpoint pens of different colors. Each with different colors and letters, each measuring about 14.5cm/5.7 inches, are easy to carry. Each ballpoint Pen is decorated with a stunning pure morandi colored.",7
